0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.1,0.924,0.9196,0.5938,0.3162,0.1406,0.1028,0.098,0.1022,0.1022,0.1026,0.1012,0.0984,0.0974,0.098,0.1006,0.1022,0.0998,0.1012,0.098,0.1026,0.1038,0.1036,0.103,0.1016,0.0998,0.103,0.0972,0.098,0.1014,0.0988
0.2,0.9332,0.9234,0.9152,0.8078,0.2832,0.341,0.1104,0.1054,0.0996,0.0978,0.1006,0.0956,0.0938,0.097,0.0978,0.0962,0.0942,0.0982,0.1074,0.0914,0.0932,0.1044,0.1076,0.0936,0.096,0.098,0.0978,0.1096,0.0904,0.0976
0.3,0.9618,0.9386,0.9374,0.9136,0.8784,0.3738,0.29,0.2558,0.155,0.133,0.1006,0.096,0.097,0.0918,0.0906,0.1034,0.101,0.0918,0.0996,0.1032,0.1012,0.0918,0.1054,0.1074,0.1016,0.0936,0.1004,0.0972,0.1096,0.1032
0.4,0.9746,0.962,0.9568,0.933,0.9212,0.9072,0.7798,0.3762,0.284,0.2566,0.192,0.1262,0.1216,0.0996,0.0946,0.0966,0.0998,0.1034,0.0912,0.0994,0.096,0.1084,0.1094,0.1092,0.0982,0.1074,0.0942,0.1054,0.1014,0.0972
0.5,0.9764,0.9716,0.9658,0.947,0.942,0.9286,0.9208,0.8972,0.7878,0.5394,0.3746,0.2624,0.293,0.1956,0.152,0.1346,0.1164,0.0982,0.0946,0.101,0.1004,0.0926,0.1096,0.0994,0.0904,0.095,0.1086,0.0972,0.1082,0.0972
0.6,0.979,0.9782,0.9728,0.972,0.9698,0.9598,0.9434,0.9318,0.9314,0.9106,0.8908,0.7748,0.5596,0.3798,0.3044,0.2562,0.272,0.291,0.1564,0.1256,0.1002,0.1048,0.1018,0.103,0.0982,0.0966,0.0962,0.0988,0.1014,0.0952
0.7,0.9796,0.9792,0.978,0.9752,0.972,0.9718,0.968,0.958,0.9592,0.9494,0.9474,0.9384,0.9282,0.9128,0.9038,0.8496,0.7198,0.5822,0.4722,0.3736,0.3422,0.3086,0.2886,0.2486,0.2204,0.2264,0.185,0.145,0.123,0.0974
0.8,0.9802,0.9802,0.9802,0.9788,0.978,0.978,0.9776,0.9768,0.9756,0.9734,0.971,0.9642,0.96,0.9558,0.9526,0.9486,0.9408,0.9354,0.934,0.9322,0.9288,0.9072,0.904,0.8928,0.7362,0.6466,0.5972,0.4728,0.4786,0.4538
0.9,0.9812,0.981,0.9808,0.98,0.9799,0.9798,0.9798,0.98,0.9788,0.9788,0.9786,0.9784,0.9784,0.9764,0.9756,0.9762,0.9764,0.9752,0.9714,0.9714,0.9718,0.971,0.9706,0.9692,0.9684,0.967,0.9648,0.9634,0.9606,0.9534
1,0.9811,0.9814,0.981,0.9806,0.9806,0.9806,0.9808,0.9806,0.9806,0.9805,0.9807,0.981,0.981,0.9814,0.98098,0.9802,0.9814,0.9814,0.9808,0.9809,0.9814,0.981,0.9808,0.9808,0.9806,0.9808,0.981,0.981,0.981,0.981
